0001.HK,長和
0002.HK,中電控股
0003.HK,香港中華煤氣
0004.HK,九龍倉集團
0005.HK,匯豐控股
0006.HK,電能實業
0008.HK,電訊盈科
0010.HK,恒隆集團
0011.HK,恒生銀行
0012.HK,恒基地產
0014.HK,希慎興業
0016.HK,新鴻基地產
0017.HK,新世界發展
0018.HK,東方報業集團
0019.HK,太古股份公司Ａ
0023.HK,東亞銀行
0025.HK,CHEVALIER INT'L
0026.HK,中華汽車
0027.HK,銀河娛樂
0028.HK,天安
0029.HK,達力集團
0030.HK,萬隆控股集團
0031.HK,航天控股
0032.HK,港通控股
0034.HK,九龍建業
0035.HK,遠東發展
0038.HK,第一拖拉機股份
0041.HK,鷹君
0043.HK,卜蜂國際
0045.HK,大酒店
0050.HK,香港小輪（集團）
0051.HK,海港企業
0052.HK,FAIRWOOD HOLD
0053.HK,國浩集團
0057.HK,震雄集團
0059.HK,天譽置業
0062.HK,載通
0064.HK,結好控股
0066.HK,港鐵公司
0069.HK,香格里拉（亞洲）
0071.HK,美麗華酒店
0075.HK,渝太地產
0078.HK,REGAL INT'L
0081.HK,中國海外宏洋集團
0082.HK,第一視頻
0083.HK,信和置業
0085.HK,中電華大科技
0086.HK,新鴻基公司
0087.HK,太古股份公司Ｂ
0088.HK,TAI CHEUNG HOLD
0089.HK,大生地產
0095.HK,綠景中國地產
0096.HK,ＹＵＳＥＩ
0097.HK,恒基發展
0098.HK,興發鋁業
0099.HK,王氏國際
0101.HK,恒隆地產
0102.HK,凱升控股
0105.HK,凱聯國際酒店
0106.HK,朗詩地產
0107.HK,四川成渝高速公路
0108.HK,國銳地產
0112.HK,勒泰集團
0113.HK,迪生創建
0116.HK,周生生
0119.HK,保利置業集團
0120.HK,COSMOPOL INT'L
0123.HK,越秀地產
0124.HK,粵海置地
0126.HK,佳寧娜
0127.HK,華人置業
0128.HK,安寧控股
0129.HK,泛海集團
0131.HK,卓能（集團）
0132.HK,中國興業控股
0133.HK,招商局中國基金
0135.HK,昆侖能源
0136.HK,恒騰網絡
0142.HK,第一太平
0144.HK,招商局港口
0147.HK,國際商業結算
0148.HK,建滔集團
0149.HK,中國農產品交易
0150.HK,HYPEBEAST
0151.HK,中國旺旺
0152.HK,深圳國際
0154.HK,北京控股環境集團
0156.HK,力寶華潤
0158.HK,萬邦投資
0159.HK,布萊克萬礦業
0160.HK,漢國置業
0163.HK,英皇國際
0165.HK,中國光大控股
0168.HK,青島啤酒股份
0169.HK,萬達酒店發展
0171.HK,銀建國際
0173.HK,嘉華國際
0175.HK,吉利汽車
0177.HK,江蘇寧滬高速公路
0178.HK,莎莎國際
0179.HK,德昌電機控股
0182.HK,協合新能源
0184.HK,激成投資
0185.HK,正商實業
0186.HK,敏捷控股
0189.HK,東岳集團
0190.HK,香港建設（控股）
0191.HK,麗新國際
0194.HK,廖創興企業
0195.HK,綠科科技國際
0196.HK,宏華集團
0199.HK,德祥地產
0200.HK,新濠國際發展
0201.HK,華大酒店
0202.HK,潤中國際控股
0206.HK,華商國際海洋控股
0207.HK,大悅城地產
0208.HK,保利達資產
0212.HK,NANYANG HOLD
0213.HK,NATIONAL ELEC H
0214.HK,匯漢控股
0215.HK,和記電訊香港
0216.HK,建業實業
0217.HK,中國誠通發展集團
0218.HK,申萬宏源香港
