Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK
2020-03-13,29408740,10883548,78668308,13685251,127327773,9819649,34994762,4807486,5902216,19374865
2020-03-16,16043730,5538787,36478983,6829357,91411722,6844230,17966255,3311304,6272906,16401792
2020-03-17,0,9311576,47694703,11238268,61904936,9823051,24845379,0,0,0
2020-03-18,16529618,8643096,41167858,9130166,63302201,7542036,19723050,3115480,5419316,15240652
2020-03-19,28597813,10842083,71844315,12428771,77249632,10362224,33735484,3708375,8886879,12614035
2020-03-20,25232496,11118595,148456095,17973319,54043425,14396324,51988422,2165583,7071695,15724479
2020-03-23,15469707,11160775,89816366,6151485,64238228,7057506,22450459,2639001,6508837,10374915
2020-03-24,15296458,9264804,45882014,7531783,35692754,6153012,20504625,2344500,4326669,21674892
2020-03-25,16640222,7421399,47231759,4955821,46847802,6154750,12986578,2573198,4796974,10680658
2020-03-26,12067696,8330210,35182599,5376380,29685401,5318208,14664568,2896357,3385090,10925639
2020-03-27,18221966,5221990,31467422,3744880,38499002,4590410,13921137,2519445,1966009,11323299
2020-03-30,15936885,4225701,27025093,3498872,51712032,3760926,9943847,1722843,2863326,5522673
2020-03-31,10923688,5259104,37543653,5354050,34812410,5523184,17644952,1825394,2294850,6592709
2020-04-01,10568769,4065557,40629083,3557295,212365103,3929137,13114931,2465102,6542670,5437599
2020-04-02,7648777,4464179,29039752,4011271,120204721,3099635,18920797,976000,3706786,3380204
2020-04-03,7014328,8035563,22220466,4937737,90173250,4899314,13906020,862302,3570053,3736906
2020-04-06,11769045,6231679,30571844,2844598,61129889,4978650,14533328,892560,3978135,4784680
2020-04-07,13594770,6586685,31944423,5270855,74051605,5105675,9666005,1432079,5098083,4717941
2020-04-08,8754282,3496877,14430163,4120486,48475468,4881340,13301210,1126000,2585597,3826765
2020-04-09,7806942,4185475,26998569,4670164,40473133,4738330,11656554,1416968,2434468,2555724
2020-04-14,10388354,4308834,26795562,4478863,36916865,4793472,14782179,941281,4630040,4083855
2020-04-15,8199271,5197027,25955954,5230299,29855944,2968227,9440660,1642394,2709092,8001730
2020-04-16,8591713,4264545,19928584,7186651,37385637,2750237,11284929,1049000,1850420,3228259
2020-04-17,8356053,2862529,21921912,4122560,52045136,1833203,11283917,1201000,2517459,5929317
2020-04-20,7079352,2038786,24315467,3457065,30234010,1865335,4491787,1434000,1054089,3907057
2020-04-21,10971459,2850022,29460743,3905487,26649501,3788718,7673354,1801815,2491820,7307279
2020-04-22,7630996,4079850,21612479,3441126,30535516,2691780,8869600,2245108,2174170,5004758
2020-04-23,5145790,2120941,18290851,2930377,16392712,3600144,9154470,626168,1019102,3342926
2020-04-24,9374622,1667387,10333088,3921520,15509158,1989754,7698490,643000,4079513,4728539
2020-04-27,6052456,3515736,14541829,1970792,29008804,4200817,4010626,538000,2352632,5280161
2020-04-28,7696084,5951556,18101278,3155355,54166077,3852688,8054024,817000,3062770,3541473
2020-04-29,5151326,5001217,19839897,5556720,34078050,4135865,9961982,1272500,1813199,3225087
2020-05-04,9687327,3808056,28158436,4311392,53885337,4248604,10463763,2995144,3159259,7664462
2020-05-05,4211309,1434835,9615336,3443141,24186602,4004693,7371523,1191024,1189933,2727915
2020-05-06,4753293,1694709,12182505,3394120,32638886,4259282,7678322,1497247,1249728,3944526
2020-05-07,5691677,3434548,9150901,2665494,23315862,5615181,5644440,448672,1329508,3696458
2020-05-08,3599573,3694123,7614047,3180396,19639628,2146290,5875697,1077208,1030137,3360811
2020-05-11,5895311,2541522,13778910,2925712,38970672,3375364,10049767,1354000,1713219,5183751
2020-05-12,8841564,2566530,22753096,5478621,30960477,2811901,8224807,1382000,1771825,4894032
2020-05-13,5779087,2365964,15964912,5851942,30665368,3677200,6741137,857883,1912231,4276325
2020-05-14,9358316,2218978,14599121,3559570,42920349,3617265,9034715,747766,2158901,4310910
2020-05-15,7372417,4425161,9755395,3107114,23336593,3203414,9739466,552176,1935246,2912193
2020-05-18,7072180,3602798,8556169,2757000,25621993,3098968,6046215,723000,1167713,3557330
2020-05-19,7805060,2516574,16714980,3816794,43427634,3213742,7298498,615000,1946944,3195201
2020-05-20,4703873,2901225,8036872,4072302,28961827,1870675,4160595,304000,930016,2453761
2020-05-21,9995195,2721968,14599625,4280829,16663308,3068869,7069537,715400,1541389,4668072
2020-05-22,21522896,8283685,63271975,9942274,122796430,6817867,18075001,1445800,10142558,16324192
2020-05-25,10226595,4293939,28327607,6941942,48071226,4120619,6827459,1161400,6373515,11832595
2020-05-26,12819286,3839446,20475455,7791082,33450161,2831513,6298994,916000,3097486,6320171
2020-05-27,11689479,4043277,23313768,8252637,42822281,5800873,12781373,864320,4151111,6775754
2020-05-28,15075848,5070296,28771079,7393312,56105691,4605604,13550044,1363510,3317112,5985318
2020-05-29,16752419,6913554,53030967,21854586,41062941,6280065,21705956,2502000,7492812,7572779
2020-06-01,14937801,3981409,38348382,9357653,50234471,4870929,13733372,1723000,4640458,6757231
